Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
3.0 12.26 0.002
3.0 12.65 0.0016
3.0 13.04 0.0013
3.0 13.45 0.0011
3.0 13.86 0.0009
3.0 14.3 0.0007
3.0 14.73 0.0006
3.0 15.2 0.0005
3.0 15.66 0.0004
3.0 16.15 0.0004
3.0 16.65 0.0003
3.0 17.17 0.0003
3.0 17.7 0.0002
3.0 18.26 0.0002
3.0 18.81 0.0002
3.0 19.41 0.0002
3.0 20.0 0.0001
3.0 20.63 0.0001
3.0 21.26 0.0001
